['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
115.0 , 3329.74358974 , 3916.41025641 , 4135.38461538 , 3797.43589744 , 4615.8974359 , 4075.8974359 , 4472.30769231 , 4314.87179487 , 4287.69230769 , 4378.97435897 , 4243.58974359 , 4085.12820513 , 3552.82051282 , 3758.46153846 , 1689.0 , 1670.0 , 3.29 , 0.0 , 0.0 , 0.0 , 0.0 , 

116.0 , 3329.23076923 , 3919.48717949 , 4132.82051282 , 3802.05128205 , 4621.02564103 , 4079.48717949 , 4472.30769231 , 4320.0 , 4294.35897436 , 4375.8974359 , 4246.66666667 , 4081.53846154 , 3561.02564103 , 3761.02564103 , 1688.0 , 1671.0 , 3.297 , 0.0 , 0.0 , 0.0 , 0.0 , 

117.0 , 3311.79487179 , 3910.76923077 , 4121.53846154 , 3791.28205128 , 4629.74358974 , 4077.94871795 , 4472.30769231 , 4320.51282051 , 4289.74358974 , 4355.8974359 , 4231.79487179 , 4075.8974359 , 3552.82051282 , 3746.66666667 , 1689.0 , 1669.0 , 3.318 , 0.0 , 0.0 , 0.0 , 0.0 , 

118.0 , 3308.71794872 , 3909.23076923 , 4118.97435897 , 3788.20512821 , 4620.51282051 , 4077.94871795 , 4472.30769231 , 4317.43589744 , 4286.15384615 , 4362.56410256 , 4225.64102564 , 4076.92307692 , 3546.15384615 , 3745.12820513 , 1686.0 , 1669.0 , 3.318 , 0.0 , 0.0 , 0.0 , 0.0 , 

119.0 , 3321.53846154 , 3921.02564103 , 4125.64102564 , 3801.02564103 , 4618.97435897 , 4084.1025641 , 4472.30769231 , 4322.56410256 , 4295.8974359 , 4378.46153846 , 4233.84615385 , 4075.38461538 , 3554.35897436 , 3755.8974359 , 1688.0 , 1669.0 , 3.322 , 0.0 , 0.0 , 0.0 , 0.0 , 

